# mesh name: mesh-1
# primitive scorer name: analysis_1_doseDeposit
# iX, iY, iZ, value [Gy]
0,9,36,0
0,9,37,0
0,9,38,0
0,9,39,0
0,9,40,0
0,9,41,0
0,9,42,0
0,9,43,0
0,9,44,0
0,9,45,0
0,9,46,0
0,9,47,0
0,9,48,0
0,9,49,0
0,10,0,0
0,10,1,0
0,10,2,0
0,10,3,0
0,10,4,0
0,10,5,0
0,10,6,0
0,10,7,0
0,10,8,0
0,10,9,0
0,10,10,0
0,10,11,0
0,10,12,0
0,10,13,0
0,10,14,0
0,10,15,0
0,10,16,5.128521539040264e-05
0,10,17,7.561996781318786e-11
0,10,18,0
0,10,19,1.661740160275714e-10
0,10,20,0
0,10,21,0
0,10,22,0
0,10,23,0
0,10,24,1.429528158659378e-10
0,10,25,1.429528158651816e-10
0,10,26,0
0,10,27,0
0,10,28,0
0,10,29,0
0,10,30,0
0,10,31,0
0,10,32,0
0,10,33,0
0,10,34,1.696287568234568e-09
0,10,35,1.47212913367756e-09
0,10,36,0
0,10,37,0
0,10,38,0
0,10,39,0
0,10,40,0
0,10,41,0
0,10,42,0
0,10,43,0
0,10,44,0
0,10,45,0.0006227340755021347
0,10,46,0
0,10,47,0
0,10,48,0
0,10,49,7.428194326852077e-11
0,11,0,0
0,11,1,0
0,11,2,0
0,11,3,0
0,11,4,0
0,11,5,0
0,11,6,0
0,11,7,0
0,11,8,0
0,11,9,0
0,11,10,1.296456121710967e-06
0,11,11,7.02756879023343e-07
0,11,12,0
0,11,13,0
0,11,14,0
0,11,15,0
0,11,16,0
0,11,17,0
0,11,18,0
0,11,19,0
0,11,20,0
0,11,21,0
0,11,22,0
0,11,23,0
0,11,24,0
0,11,25,0
0,11,26,1.6617401602776e-10
0,11,27,0
0,11,28,0
0,11,29,0
0,11,30,0
0,11,31,0
0,11,32,0
0,11,33,0
0,11,34,0
0,11,35,0
0,11,36,0
0,11,37,0
0,11,38,0
0,11,39,0
0,11,40,0
0,11,41,0
0,11,42,0
0,11,43,0
0,11,44,0
0,11,45,0
0,11,46,0
0,11,47,0
0,11,48,0
0,11,49,0
0,12,0,2.04330375643033e-09
0,12,1,0
0,12,2,0
0,12,3,0
0,12,4,0
0,12,5,0
0,12,6,0
0,12,7,0
0,12,8,0
0,12,9,0
0,12,10,0
0,12,11,2.705615278119127e-07
0,12,12,1.728763694335817e-06
0,12,13,0
0,12,14,0
0,12,15,0
0,12,16,0
0,12,17,0
0,12,18,0
0,12,19,0
0,12,20,0
0,12,21,1.823950886410128e-06
0,12,22,0
0,12,23,0
0,12,24,0
0,12,25,0
0,12,26,0
0,12,27,0
0,12,28,0
0,12,29,0
0,12,30,0
0,12,31,0
0,12,32,5.797530865674568e-10
0,12,33,0
0,12,34,0
0,12,35,0
0,12,36,0
0,12,37,0
0,12,38,0
0,12,39,0
0,12,40,0
0,12,41,0
0,12,42,0
0,12,43,0
0,12,44,0
0,12,45,0
0,12,46,0
0,12,47,0
0,12,48,0
0,12,49,0
0,13,0,0
0,13,1,0
0,13,2,0
0,13,3,0
0,13,4,0
0,13,5,0
0,13,6,0
0,13,7,0
0,13,8,0
0,13,9,3.986136976287565e-09
0,13,10,0
0,13,11,0
0,13,12,0
0,13,13,0
0,13,14,0
0,13,15,0
0,13,16,0
0,13,17,0
0,13,18,0
0,13,19,0
0,13,20,0
0,13,21,9.396894946005846e-07
0,13,22,0
0,13,23,0
0,13,24,0
0,13,25,0
0,13,26,0
0,13,27,0
0,13,28,0
0,13,29,0
0,13,30,2.063363334079258e-09
0,13,31,0
0,13,32,1.987743366266572e-09
0,13,33,0
0,13,34,0
0,13,35,0
0,13,36,0
0,13,37,0
0,13,38,0
0,13,39,0
0,13,40,0
0,13,41,0
0,13,42,0
0,13,43,0
0,13,44,0
0,13,45,6.758103002479735e-10
0,13,46,1.122214134213286e-10
0,13,47,0
0,13,48,0
0,13,49,0
0,14,0,0
0,14,1,0
0,14,2,0
0,14,3,0
0,14,4,0
0,14,5,0
0,14,6,0
0,14,7,0
0,14,8,1.86503356689684e-10
0,14,9,0
0,14,10,0
0,14,11,0
0,14,12,0
0,14,13,0
0,14,14,0
0,14,15,0
0,14,16,0
0,14,17,0
0,14,18,0
0,14,19,0
0,14,20,0
0,14,21,0
0,14,22,0
0,14,23,0
0,14,24,0
0,14,25,0
0,14,26,0
0,14,27,0
0,14,28,0
0,14,29,0
0,14,30,0
0,14,31,0
0,14,32,0
0,14,33,0
0,14,34,0
0,14,35,0
0,14,36,0
0,14,37,0
0,14,38,0
0,14,39,0
0,14,40,0
0,14,41,0
0,14,42,0
0,14,43,0
0,14,44,0
0,14,45,0
0,14,46,0
0,14,47,0
0,14,48,0
0,14,49,0
0,15,0,0
0,15,1,0
0,15,2,0
0,15,3,0
0,15,4,0
0,15,5,0
0,15,6,0
0,15,7,0
0,15,8,0
0,15,9,0
0,15,10,0
0,15,11,0
0,15,12,0
0,15,13,0
0,15,14,0
0,15,15,0
0,15,16,1.661740160277886e-10
0,15,17,0
0,15,18,0
0,15,19,2.085268090737697e-09
0,15,20,6.309217348792208e-10
0,15,21,0
0,15,22,0
0,15,23,0
0,15,24,0
0,15,25,0
0,15,26,8.921723928431534e-09
0,15,27,0
0,15,28,0
0,15,29,0
0,15,30,0
0,15,31,0
0,15,32,0
0,15,33,0
0,15,34,0
0,15,35,0
0,15,36,0
0,15,37,0
0,15,38,0
0,15,39,0
0,15,40,0
0,15,41,0
0,15,42,0
0,15,43,0
0,15,44,0
0,15,45,0
0,15,46,0
0,15,47,0
0,15,48,0
0,15,49,0
0,16,0,0
0,16,1,0
0,16,2,0
0,16,3,5.797530865674568e-10
0,16,4,0
0,16,5,0
0,16,6,0
0,16,7,0
0,16,8,0
0,16,9,0
0,16,10,0
0,16,11,0
0,16,12,0
0,16,13,0
0,16,14,0
0,16,15,0
0,16,16,0
0,16,17,0
0,16,18,0
0,16,19,0
0,16,20,0
0,16,21,0
0,16,22,0
0,16,23,0
0,16,24,0
0,16,25,0
0,16,26,1.205085331816198e-10
0,16,27,5.503057560648711e-09
0,16,28,0
0,16,29,1.973046677316473e-09
0,16,30,0
0,16,31,1.122214134209692e-10
0,16,32,0
0,16,33,0
0,16,34,0
0,16,35,0
0,16,36,0
0,16,37,0
0,16,38,0
0,16,39,0
0,16,40,0
0,16,41,1.122214134212491e-10
0,16,42,0
0,16,43,0
0,16,44,0
0,16,45,1.122214134214484e-10
0,16,46,0
0,16,47,0
0,16,48,0
0,16,49,0
0,17,0,0
0,17,1,1.26745454043244e-10
0,17,2,1.973046677316473e-09
0,17,3,5.860331695108799e-10
0,17,4,0
0,17,5,0
0,17,6,0
0,17,7,0
0,17,8,0
0,17,9,0
0,17,10,2.11669008649565e-09
0,17,11,0
0,17,12,0
0,17,13,0
0,17,14,0
0,17,15,0
0,17,16,0
0,17,17,0
0,17,18,0
0,17,19,0
0,17,20,0
0,17,21,0
0,17,22,0
0,17,23,2.254067247995968e-09
0,17,24,0
0,17,25,0
0,17,26,0
0,17,27,0
0,17,28,0
0,17,29,0
0,17,30,0
0,17,31,0
0,17,32,0
0,17,33,0
0,17,34,0
0,17,35,2.404559592962887e-10
0,17,36,0
0,17,37,0
0,17,38,0
0,17,39,0
0,17,40,0
0,17,41,0
0,17,42,0
0,17,43,0
0,17,44,0
0,17,45,0
0,17,46,0
0,17,47,0
0,17,48,0
0,17,49,0
0,18,0,0
0,18,1,0
0,18,2,5.860331695106833e-10
0,18,3,0
0,18,4,0
0,18,5,0
0,18,6,0
0,18,7,0
0,18,8,5.86033169510923e-10
0,18,9,0
0,18,10,0
0,18,11,0
0,18,12,0
0,18,13,0
0,18,14,0
0,18,15,0
0,18,16,0
0,18,17,0
0,18,18,0
0,18,19,0
0,18,20,0
0,18,21,0
0,18,22,1.079807388564846e-09
0,18,23,1.469668894996991e-11
0,18,24,1.597338995152093e-07
0,18,25,1.818836933038839e-06
0,18,26,0
0,18,27,5.368283959319143e-11
0,18,28,0
0,18,29,0
0,18,30,0
0,18,31,0
0,18,32,5.860331695110053e-10
0,18,33,0
0,18,34,0
0,18,35,0
0,18,36,0
0,18,37,0
0,18,38,0
0,18,39,0
0,18,40,0
0,18,41,0
0,18,42,0
0,18,43,0
0,18,44,0
0,18,45,0
0,18,46,0
0,18,47,0
0,18,48,0
0,18,49,0
0,19,0,0
0,19,1,0
0,19,2,0
0,19,3,0
0,19,4,0
0,19,5,0
0,19,6,0
0,19,7,3.073140244460925e-11
0,19,8,0
0,19,9,4.271945493334323e-09
0,19,10,0
0,19,11,0
0,19,12,0
0,19,13,0
0,19,14,0
0,19,15,0
0,19,16,0
0,19,17,0
0,19,18,0
0,19,19,1.122214134215757e-10
0,19,20,0
0,19,21,0
0,19,22,0
0,19,23,0
0,19,24,8.274649148353229e-07
0,19,25,0
0,19,26,0
0,19,27,0
0,19,28,0
0,19,29,0
0,19,30,0
0,19,31,0
0,19,32,0
0,19,33,0
0,19,34,0
0,19,35,0
0,19,36,0
0,19,37,0
0,19,38,0
0,19,39,0
0,19,40,0
0,19,41,0
0,19,42,0
0,19,43,0
0,19,44,0
0,19,45,0
0,19,46,0
0,19,47,0
0,19,48,0
0,19,49,2.395948757586455e-09
0,20,0,0
0,20,1,1.252974559340501e-07
0,20,2,3.07314024445793e-11
0,20,3,3.148759679028411e-09
0,20,4,0
0,20,5,0
0,20,6,2.575805153634966e-09
0,20,7,0
0,20,8,0
0,20,9,0
0,20,10,0
0,20,11,0
0,20,12,0
0,20,13,0
0,20,14,0
0,20,15,1.267454540428172e-10
0,20,16,0
0,20,17,0
0,20,18,0
0,20,19,0
0,20,20,0
0,20,21,0
0,20,22,0
0,20,23,6.19389561013271e-07
0,20,24,2.806035747389368e-06
0,20,25,0
0,20,26,0
0,20,27,0
0,20,28,0
0,20,29,0
0,20,30,0
0,20,31,0
0,20,32,1.17510062464167e-07
0,20,33,0
0,20,34,0
0,20,35,1.973046677316473e-09
0,20,36,0
0,20,37,0
0,20,38,0
0,20,39,0
0,20,40,0
0,20,41,0
0,20,42,0
0,20,43,0
0,20,44,0
0,20,45,0
0,20,46,0
0,20,47,0
0,20,48,0
0,20,49,0
0,21,0,0
0,21,1,0
0,21,2,0
0,21,3,0
0,21,4,0
0,21,5,0
0,21,6,0
0,21,7,0
0,21,8,0
0,21,9,0
0,21,10,1.973046677316473e-09
0,21,11,0
0,21,12,0
0,21,13,0
0,21,14,0
0,21,15,0
0,21,16,0
0,21,17,1.122214134213211e-10
0,21,18,0
0,21,19,0
0,21,20,1.469668894988895e-11
0,21,21,0
0,21,22,2.066244036861858e-06
0,21,23,2.189702925029373e-06
0,21,24,0
0,21,25,0
0,21,26,1.122214134211489e-10
0,21,27,0
0,21,28,0
0,21,29,0
0,21,30,3.993550063885436e-09
0,21,31,0
0,21,32,0
0,21,33,0
0,21,34,0
0,21,35,0
0,21,36,5.36828395934033e-11
0,21,37,0
0,21,38,0
0,21,39,0
0,21,40,0
0,21,41,0
0,21,42,0
0,21,43,0
0,21,44,0
0,21,45,0
0,21,46,0
0,21,47,0
0,21,48,0
0,21,49,0
0,22,0,5.422236561961116e-11
0,22,1,0
0,22,2,0
0,22,3,0
0,22,4,0
0,22,5,0
0,22,6,0
0,22,7,0
0,22,8,0
0,22,9,0
0,22,10,0
0,22,11,0
0,22,12,0
0,22,13,0
0,22,14,2.804823161178593e-09
0,22,15,0
0,22,16,0
0,22,17,0
0,22,18,1.835467065223274e-09
0,22,19,0
0,22,20,0
0,22,21,0
0,22,22,7.397917105275169e-07
0,22,23,0
0,22,24,0
0,22,25,0
0,22,26,8.794274224667451e-12
0,22,27,0
0,22,28,2.559079846827302e-09
0,22,29,0
0,22,30,0
0,22,31,0
0,22,32,0
0,22,33,0
0,22,34,0
0,22,35,0
0,22,36,0
0,22,37,0
0,22,38,0
0,22,39,0
0,22,40,3.178258485653218e-08
0,22,41,0
0,22,42,7.025707911400575e-11
0,22,43,0
0,22,44,0
0,22,45,0
0,22,46,0
0,22,47,0
0,22,48,0
0,22,49,0
0,23,0,0
0,23,1,0
0,23,2,0
0,23,3,0
0,23,4,0
0,23,5,0
0,23,6,0
0,23,7,0
0,23,8,0
0,23,9,0
0,23,10,0
0,23,11,0
0,23,12,0
0,23,13,0
0,23,14,0
0,23,15,0
0,23,16,0
0,23,17,0
0,23,18,2.099792131359507e-09
0,23,19,0
0,23,20,0
0,23,21,0
0,23,22,0
0,23,23,0
0,23,24,0
0,23,25,0
0,23,26,0
0,23,27,7.289859853766067e-10
0,23,28,0
0,23,29,0
0,23,30,0
0,23,31,0
0,23,32,0
0,23,33,0
0,23,34,0
0,23,35,0
0,23,36,0
0,23,37,0
0,23,38,0
0,23,39,0
0,23,40,0
0,23,41,0
0,23,42,0
0,23,43,1.225070654177097e-07
0,23,44,0
0,23,45,0
0,23,46,0
0,23,47,0
0,23,48,0
0,23,49,0
0,24,0,0.002147819032252335
0,24,1,0
0,24,2,0
0,24,3,0
0,24,4,0
0,24,5,0
0,24,6,0
0,24,7,0
0,24,8,0
0,24,9,0
0,24,10,0
0,24,11,0
0,24,12,0
0,24,13,3.631386902909592e-08
0,24,14,0
0,24,15,0
0,24,16,0
0,24,17,0
0,24,18,0
0,24,19,0
0,24,20,0
0,24,21,0
0,24,22,0
0,24,23,3.408611896294242e-08
0,24,24,0
0,24,25,5.824762553940015e-09
0,24,26,0
0,24,27,0
0,24,28,0
0,24,29,0
0,24,30,0
0,24,31,1.973046677316473e-09
0,24,32,0
0,24,33,0
0,24,34,0
0,24,35,3.557605654064834e-08
0,24,36,0
0,24,37,0
0,24,38,0
0,24,39,0
0,24,40,0
0,24,41,0
0,24,42,0
0,24,43,2.924478678754877e-05
0,24,44,0
0,24,45,0
0,24,46,0
0,24,47,0
0,24,48,0
0,24,49,0
0,25,0,4.187261488283913e-09
0,25,1,0
0,25,2,0
0,25,3,0
0,25,4,0
0,25,5,0
0,25,6,0
0,25,7,0
0,25,8,0
0,25,9,0
0,25,10,0
0,25,11,0
0,25,12,0
0,25,13,0
0,25,14,6.146280488909216e-11
0,25,15,0
0,25,16,0
0,25,17,0
0,25,18,0
0,25,19,0
0,25,20,0
0,25,21,0
0,25,22,0
0,25,23,0
0,25,24,0
0,25,25,0
0,25,26,4.215103408939849e-09
0,25,27,0
0,25,28,0
0,25,29,4.581072325228385e-09
0,25,30,0
0,25,31,0
0,25,32,0
0,25,33,0
0,25,34,0
0,25,35,0
0,25,36,0
0,25,37,0
0,25,38,0
0,25,39,0
0,25,40,2.004468673074321e-09
0,25,41,0
0,25,42,0
0,25,43,0
0,25,44,0
0,25,45,8.794274224732968e-12
0,25,46,0
0,25,47,0
0,25,48,0
0,25,49,0
0,26,0,0
0,26,1,0
0,26,2,0
0,26,3,0
0,26,4,0
0,26,5,0
0,26,6,0
0,26,7,0
0,26,8,0
0,26,9,0
0,26,10,0
0,26,11,0
0,26,12,0
0,26,13,0
0,26,14,0
0,26,15,0
0,26,16,0
0,26,17,0
0,26,18,0
0,26,19,0
0,26,20,0
0,26,21,0
0,26,22,0
0,26,23,0
0,26,24,0
0,26,25,0
0,26,26,0
0,26,27,4.908288512257232e-08
0,26,28,0
0,26,29,0
0,26,30,6.013386622113652e-08
0,26,31,0
0,26,32,0
0,26,33,0
0,26,34,0
0,26,35,0
0,26,36,1.973046677316473e-09
0,26,37,2.80712068075687e-08
0,26,38,2.462701913554043e-08
0,26,39,0
0,26,40,0
0,26,41,0
0,26,42,0
0,26,43,0
0,26,44,0
0,26,45,0
0,26,46,0
0,26,47,0.0001825888388836113
0,26,48,6.353974230593678e-07
0,26,49,0
0,27,0,0
0,27,1,0
0,27,2,0
0,27,3,0
0,27,4,0
0,27,5,0
0,27,6,0
0,27,7,2.139220693344245e-09
0,27,8,0
0,27,9,6.982545829320644e-10
0,27,10,0
0,27,11,0
0,27,12,0
0,27,13,0
0,27,14,0
0,27,15,0
0,27,16,0
0,27,17,0
0,27,18,0
0,27,19,5.860331695108968e-10
0,27,20,0
0,27,21,0
0,27,22,0
0,27,23,0
0,27,24,0
0,27,25,0
0,27,26,0
0,27,27,0
0,27,28,0
0,27,29,0
0,27,30,0
0,27,31,0
0,27,32,0
0,27,33,0
0,27,34,0
0,27,35,0
0,27,36,0
0,27,37,0
0,27,38,0
0,27,39,0
0,27,40,0.0003856935157706189
0,27,41,0
0,27,42,0
0,27,43,0
0,27,44,0
0,27,45,0
0,27,46,0
0,27,47,0
0,27,48,0
0,27,49,0
0,28,0,0
0,28,1,0
0,28,2,0
0,28,3,0
0,28,4,0
0,28,5,0
0,28,6,0
0,28,7,0
0,28,8,2.606536556079678e-09
0,28,9,0
0,28,10,0
0,28,11,0
0,28,12,0
0,28,13,0
0,28,14,1.989771984124553e-09
0,28,15,0
0,28,16,0
0,28,17,1.973046677316473e-09
0,28,18,0
0,28,19,0
0,28,20,0
0,28,21,4.157770995698545e-09
0,28,22,0
0,28,23,0
0,28,24,0
0,28,25,0
0,28,26,0
0,28,27,0
0,28,28,0
0,28,29,0
0,28,30,0
0,28,31,0
0,28,32,0
0,28,33,0
0,28,34,0
0,28,35,0
0,28,36,0
0,28,37,0
0,28,38,0
0,28,39,0
0,28,40,0
0,28,41,0
0,28,42,0
0,28,43,0
0,28,44,0
0,28,45,0
0,28,46,0
0,28,47,0
0,28,48,0
0,28,49,0
0,29,0,0
0,29,1,0
0,29,2,0
0,29,3,0
0,29,4,0
0,29,5,0
0,29,6,0
0,29,7,0
0,29,8,0
0,29,9,0
0,29,10,0
0,29,11,1.32917631781153e-09
0,29,12,0
0,29,13,0
0,29,14,0
0,29,15,0
0,29,16,0
0,29,17,2.24237806952758e-09
0,29,18,0
0,29,19,2.741569129882987e-09
0,29,20,0
0,29,21,0
0,29,22,3.00706281108985e-08
0,29,23,0
0,29,24,0
0,29,25,0
0,29,26,0
0,29,27,0
0,29,28,0
0,29,29,0
0,29,30,0
0,29,31,0
0,29,32,2.146730895627112e-09
0,29,33,1.452404062151857e-11
0,29,34,0
0,29,35,0
0,29,36,2.273670579039635e-10
0,29,37,0
0,29,38,0
0,29,39,0
0,29,40,0
0,29,41,0
0,29,42,0
0,29,43,0
0,29,44,0
0,29,45,5.860331695109895e-10
0,29,46,0
0,29,47,0
0,29,48,0
0,29,49,0
0,30,0,0
0,30,1,0
0,30,2,0
0,30,3,0
0,30,4,0
0,30,5,0
0,30,6,1.452404062154103e-11
0,30,7,0
0,30,8,0
0,30,9,0
0,30,10,0
0,30,11,0
0,30,12,0
0,30,13,1.571099787897799e-10
0,30,14,0
0,30,15,2.798046714290984e-09
0,30,16,0
0,30,17,0
0,30,18,0
0,30,19,0
0,30,20,0
0,30,21,0
0,30,22,0
0,30,23,0
0,30,24,0
0,30,25,0
0,30,26,0
0,30,27,0
0,30,28,1.98757071793817e-09
0,30,29,0
0,30,30,0
0,30,31,0
0,30,32,0
0,30,33,0
0,30,34,0
0,30,35,0
0,30,36,0
0,30,37,0
0,30,38,0
0,30,39,0
0,30,40,0
0,30,41,0
0,30,42,0
0,30,43,0
0,30,44,0
0,30,45,0
